,benchmark_value,cash,date,execution_loss,long_exposure,pnl,portfolio_value,positions,short_exposure
421,98783.0,100000,2016-09-09 17:03:13.718880,-61,377093,-11490,477093,"{u'A': 6, u'B': 23}",0
422,98594.0,100000,2016-09-09 17:31:44.870720,-68,293964,-10928,393964,"{u'A': 3, u'B': 22}",0
423,98561.0,100000,2016-09-09 17:59:31.022450,-66,293871,-10865,393871,"{u'A': 3, u'B': 22}",0
424,98322.0,100000,2016-09-09 18:27:45.630970,-68,317148,-10125,417148,"{u'A': 4, u'B': 22}",0
425,98221.0,100000,2016-09-09 20:17:29.637420,-70,234610,-9842,334610,"{u'A': 1, u'B': 21}",0
426,98176.0,100000,2016-09-09 21:25:16.588570,-70,204460,-9748,304460,"{u'A': 1, u'B': 18}",0
427,97727.0,100000,2016-09-09 22:21:09.840750,-69,271253,-8598,371253,"{u'A': 3, u'B': 20}",0
428,97746.0,100000,2016-09-09 23:08:22.343730,-71,247356,-8589,347356,"{u'A': 2, u'B': 20}",0
429,97599.0,100000,2016-09-09 23:48:07.796360,-71,240952,-8142,340952,"{u'A': 3, u'B': 17}",0
430,97470.0,100000,2016-09-10 00:16:19.096290,-70,308298,-7915,408298,"{u'A': 5, u'B': 19}",0
431,97080.0,100000,2016-09-10 00:46:59.447880,-69,293100,-6715,393100,"{u'A': 4, u'B': 20}",0
432,97033.0,100000,2016-09-10 01:22:34.598750,-67,263289,-6571,363289,"{u'A': 4, u'B': 17}",0
433,96179.0,100000,2016-09-12 11:20:06.077920,-80,331729,-3752,431729,"{u'A': 7, u'B': 17}",0
434,96097.0,100000,2016-09-12 11:38:14.287070,-78,288291,-3326,388291,"{u'A': 6, u'B': 15}",0
435,95945.0,100000,2016-09-12 11:56:24.989430,-79,311405,-2865,411405,"{u'A': 7, u'B': 15}",0
436,95642.0,100000,2016-09-12 12:15:42.103020,-84,263405,-1977,363405,"{u'A': 5, u'B': 15}",0
437,95460.0,100000,2016-09-12 12:35:22.083300,-84,262885,-1466,362885,"{u'A': 5, u'B': 15}",0
438,95692.0,100000,2016-09-12 12:58:39.180600,-80,159718,-2034,259718,"{u'A': 1, u'B': 14}",0
439,95304.0,100000,2016-09-12 13:21:33.588140,-79,178467,-1288,278467,"{u'A': 1, u'B': 16}",0
440,95244.0,100000,2016-09-12 13:48:45.735380,-79,158896,-1066,258896,"{u'A': 1, u'B': 14}",0
441,95435.0,100000,2016-09-12 15:14:50.709860,-78,139915,-1515,239915,"{u'A': 1, u'B': 12}",0
442,95250.0,100000,2016-09-12 15:37:11.147270,-81,116184,-1256,216184,"{u'A': 0, u'B': 12}",0
443,95346.0,100000,2016-09-12 16:01:29.151430,-82,135716,-1425,235716,"{u'A': 0, u'B': 14}",0
444,95341.0,100000,2016-09-12 16:30:41.282580,-82,126087,-1497,202664,"{u'A': -1, u'B': 13}",-23423
445,95443.0,100000,2016-09-12 16:58:36.087620,-84,116532,-1623,216532,"{u'A': 0, u'B': 12}",0
446,95186.0,100000,2016-09-12 17:22:31.045800,-83,168618,-1186,268618,"{u'A': 1, u'B': 15}",0
447,95054.0,100000,2016-09-12 17:49:55.087730,-85,135408,-1047,235408,"{u'A': 0, u'B': 14}",0
448,94968.0,100000,2016-09-12 18:14:26.245650,-83,177867,-870,277867,"{u'A': 1, u'B': 16}",0
449,94681.0,100000,2016-09-12 19:40:10.055860,-84,190971,-286,290971,"{u'A': 2, u'B': 15}",0
450,94326.0,100000,2016-09-12 20:18:31.495190,-86,203824,461,303824,"{u'A': 3, u'B': 14}",0
451,94360.0,100000,2016-09-12 21:16:10.088480,-86,263892,418,363892,"{u'A': 6, u'B': 13}",0
452,94532.0,100000,2016-09-12 22:07:35.552460,-90,283596,-78,383596,"{u'A': 6, u'B': 15}",0
453,94661.0,100000,2016-09-12 22:50:29.515140,-91,241466,-526,341466,"{u'A': 5, u'B': 13}",0
454,94732.0,100000,2016-09-12 23:32:52.989280,-93,315480,-723,415480,"{u'A': 9, u'B': 11}",0
455,95182.0,100000,2016-09-12 23:57:28.747420,-94,237136,-1934,337136,"{u'A': 6, u'B': 10}",0
456,95448.0,100000,2016-09-13 00:22:55.055630,-91,220044,-2506,320044,"{u'A': 4, u'B': 13}",0
457,95293.0,100000,2016-09-13 00:54:48.864660,-95,219677,-2131,319677,"{u'A': 4, u'B': 13}",0
458,95443.0,100000,2016-09-13 01:27:29.296770,-95,262895,-2510,362895,"{u'A': 5, u'B': 15}",0
459,96004.0,100000,2016-09-13 11:23:29.770590,-103,264430,-4073,364430,"{u'A': 5, u'B': 15}",0
460,96061.0,100000,2016-09-13 11:45:10.468950,-104,288183,-4239,388183,"{u'A': 6, u'B': 15}",0
461,95544.0,100000,2016-09-13 12:07:57.122340,-103,292309,-2644,392309,"{u'A': 5, u'B': 18}",0
462,95796.0,100000,2016-09-13 12:32:00.788300,-104,312600,-3395,412600,"{u'A': 5, u'B': 20}",0
